Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-628.1987	-897.5536	269.3549	1.998408	1.644608	0.9054005
6	-618.6592	-888.2981	269.6389	1.709771	1.283875	1.172202
12	-622.6224	-891.4422	268.8198	1.848682	1.454033	1.601157
18	-619.4044	-888.8298	269.4254	1.720922	0.9173022	1.600733
24	-614.776	-883.4375	268.6615	1.643333	1.450834	1.858742
30	-616.8982	-885.8867	268.9885	1.46273	0.6972458	2.247399
36	-622.9157	-892.0836	269.1679	1.626433	0.5475794	2.163005
42	-636.135	-904.3723	268.2374	1.430225	1.785665	2.129116
48	-621.8386	-890.5383	268.6997	1.65557	1.291483	1.909816
54	-620.55	-889.4101	268.8601	1.788396	1.415547	1.636728
60	-629.2932	-897.7449	268.4517	1.866273	1.899672	1.636728
66	-622.275	-890.1654	267.8905	1.504628	3.968329	1.636897
72	-617.8406	-885.7166	267.876	1.686065	3.366881	1.673182
78	-620.5618	-888.1869	267.625	1.557257	3.354281	1.939329
84	-614.3447	-882.5979	268.2532	1.590843	1.386789	2.197389
90	-639.2239	-906.9255	267.7015	1.546299	2.873166	2.028324
96	-639.7902	-908.6285	268.8383	1.875763	1.685741	1.444777
102	-640.9397	-910.6285	269.6889	1.85799	1.126983	1.117346
108	-630.1976	-900.3005	270.1029	1.933153	0.8413513	0.9216035
114	-631.0724	-900.7731	269.7007	1.901637	0.9786536	1.194314
120	-628.5152	-896.8121	268.2969	1.559693	1.752583	2.018661
126	-640.0934	-908.5288	268.4354	1.815264	2.316956	1.513597
132	-622.8431	-891.7938	268.9507	1.848249	1.43862	1.513597
138	-621.2946	-889.9547	268.6601	1.895639	1.481199	1.667739
144	-624.5969	-892.9813	268.3843	1.816432	1.865617	1.734957
150	-630.6998	-899.0553	268.3555	1.617328	1.575876	2.021005
156	-638.1138	-906.6204	268.5066	1.482367	1.931195	1.853992
162	-643.1251	-911.1929	268.0678	1.487745	2.023483	2.107442
168	-645.3803	-913.8916	268.5112	1.915985	2.023483	1.502419
174	-650.1343	-917.3243	267.19	1.900378	5.541494	1.52112
180	-641.9443	-908.4732	266.5289	2.236354	9.360314	1.15416
186	-637.7984	-904.4312	266.6328	1.929129	13.13301	0.8036803
192	-622.928	-888.6819	265.7539	1.890718	18.88915	1.122365
198	-640.434	-906.1452	265.7112	2.00775	17.10114	1.20732
204	-649.8173	-916.3909	266.5736	1.943991	13.68256	0.7719315
210	-638.2083	-906.1731	267.9648	2.288134	4.690808	0.529214
216	-626.3241	-892.2578	265.9338	2.421807	16.00437	0.435127
222	-641.2889	-909.2345	267.9456	2.281956	4.782763	0.4966432
228	-634.4232	-902.557	268.1338	2.224761	4.297976	0.5957028
234	-636.3345	-903.3779	267.0434	2.259648	8.953489	0.5399363
240	-624.3691	-891.6822	267.3131	2.259648	7.478138	0.5659146
246	-626.0542	-893.2315	267.1773	2.259648	8.197055	0.5506285
252	-618.7314	-886.8862	268.1548	2.286025	4.035329	0.6054495
258	-622.2528	-889.8866	267.6338	2.286025	5.861889	0.6054495
264	-628.4726	-896.5504	268.0779	2.540637	3.568815	0.4486093
270	-629.6224	-895.7584	266.136	2.426804	14.22069	0.487108
276	-636.9769	-902.4267	265.4498	2.400382	21.54752	0.5011424
282	-631.8961	-897.3153	265.4192	2.430856	21.54752	0.4920351
288	-630.8313	-897.2207	266.3894	2.395407	12.42884	0.4920351
294	-632.4117	-899.6228	267.2111	2.239323	8.02487	0.6168371
300	-630.0555	-899.9777	269.9222	2.312026	0.849508	0.6185155
306	-621.2237	-890.7106	269.4868	2.181626	1.368292	0.7646055
312	-627.3071	-896.4577	269.1506	1.839277	1.435015	1.369502
318	-626.0279	-895.4172	269.3892	1.64144	0.8583548	1.729424
324	-626.9417	-895.3735	268.4317	1.703254	2.522367	1.52256
330	-632.7248	-900.8362	268.1114	1.56823	1.949055	2.05473
336	-625.7438	-895.0546	269.3108	1.75032	1.24112	1.435114
342	-635.9888	-904.9166	268.9278	1.865424	1.323214	1.584548
348	-634.8969	-903.7969	268.9	1.682845	2.058614	1.367352
354	-635.9011	-905.3519	269.4507	1.761573	1.394624	1.213203
360	-624.0063	-894.1324	270.1261	1.884702	0.567208	1.275723
366	-629.3973	-898.5651	269.1678	1.75119	1.59661	1.332322
372	-641.7159	-909.4004	267.6846	1.720416	2.903921	1.913993
378	-627.2745	-896.1776	268.9031	1.809387	0.90425	1.913993
384	-622.5209	-890.8363	268.3153	1.759546	1.65898	1.913993
390	-620.8386	-888.6673	267.8287	1.6556	2.726508	1.913993
396	-630.2094	-898.7225	268.5131	2.096814	2.726508	1.051893
402	-632.0845	-899.9827	267.8982	2.287467	3.889807	1.017081
408	-633.299	-901.2666	267.9675	1.988625	3.132367	1.451956
414	-644.584	-912.5964	268.0124	1.897453	3.132367	1.487079
420	-640.617	-908.0118	267.3948	1.679681	3.502151	1.973831
426	-633.4961	-900.7665	267.2704	1.366016	3.502151	2.260725
432	-636.7162	-904.0096	267.2933	1.617702	2.828986	2.260725
438	-637.7386	-904.5056	266.767	1.521683	3.622121	2.453239
444	-626.1774	-893.9892	267.8118	1.807547	4.988833	1.221109
450	-630.0324	-896.6193	266.5869	1.949378	10.89479	1.14477
456	-646.538	-914.8301	268.2921	2.080581	3.717214	0.8834
462	-644.3983	-911.9581	267.5597	1.931649	5.498682	1.212964
468	-634.1459	-901.5426	267.3966	1.641871	6.050906	1.464965
474	-631.2372	-898.9216	267.6844	1.928122	5.310805	1.150838
480	-642.4176	-910.0742	267.6567	1.928122	5.41539	1.150838
486	-640.2129	-907.6446	267.4317	1.745969	5.74127	1.416457
492	-643.2	-908.9593	265.7593	1.514867	8.111192	2.369796
498	-642.8473	-910.375	267.5277	1.351318	0.9848934	3.016025
